Name,Rate,active_price,address,metro
Ахаус-отель на Нахимовском проспекте,8.9/10,2 150,"Москва, Нахимовский пр-т, д. 2",Нахимовский Проспект
Апарт-отель Особняк 1830 на Съезжинском,10/10,10 640,"Москва, пер. Съезжинский, д. 10с2",Площадь Ильича
Отель Москва Марриот Румс в Саду,8.7/10,7 130,"Москва, ул. Николоямская, д. 38/23с3",Марксистская
Бизнес-отель Времена Года Таганская,9.3/10,5 400,"Москва, ул. Верхняя Радищевская, д. 14",Марксистская
Park Tower,9.1/10,5 670,"Москва, Дмитровское ш., д. 27",Тимирязевская МЦД-1
Гостиница Веллион Водный,9.1/10,3 800,"Москва, Головинское ш., д. 8к2а",Водный Стадион
Мини-отель Хамовники,9.3/10,5 000,"Москва, Комсомольский пр-т, д. 15, стр. 2",Фрунзенская
Отель Вилладжио,8.9/10,4 500,"Москва, ул. Пречистенка, д. 37, стр. 2",Парк Культуры
Бутик-Отель СИТИ'КО на Чистых прудах,8.7/10,3 150,"Москва, Кривоколенный пер-к, д. 14с2",Чистые Пруды
Гостиница Университетская,8.7/10,3 900,"Москва, Мичуринский пр-т, д.8, стр.1",Ломоносовский проспект
Капсульный отель Венеция в сердце моём,9.4/10,2 100,"Москва, ул. Садовая-Спасская, д. 17/2",Красные Ворота
Отель МИРА,9.3/10,5 220,"Москва, ул. Дурова, д. 36",Проспект Мира
Отель Луна и Лотос,9.1/10,3 700,"Москва, ул. Ярославская, д. 15, стр. 2",ВДНХ
Гостиница Сокольники,8.9/10,3 400,"Москва, ул. Первая Боевская, д. 6",Сокольники
Гостиница Апельсин,8.5/10,4 900,"Москва, ул. Краснопрудная, д. 22а",Красносельская
Отель Денисовский Дворик,9.3/10,4 400,"Москва, ул. Бауманская, д. 58/25, корп. 8",Бауманская
Отель Олива,9.3/10,4 280,"Москва, ул. Большая Серпуховская, д. 60",Серпуховская
Апарт-отель Наумов на Лубянке,9.1/10,6 500,"Москва, ул. Малая Лубянка, д. 16",Тургеневская
Гостиница Apple Dream Hotel,9.1/10,4 420,"Москва, ул. Валовая, д. 32/75 стр. 1",Добрынинская
Мастер-Отель Останкино,8.7/10,4 500,"Москва, ул. Академика Королева, д. 10",Улица Академика Королёва
Отель Гостеприимный дом Семеновский,8.7/10,3 200,"Москва, ул. Лечебная, д. 3",Измайлово
Отель Русские Сезоны Комфорт Отель Поречье,8.9/10,2 700,"Москва, 2-ой квартал, д. 22/1",Алма-Атинская
Гостиница Авиамоторная,9.1/10,2 900,"Москва, 2-я Кабельная, д. 10",Авиамоторная МЦД-3
Гостиница Бригантина,8.9/10,3 000,"Москва, ул. Академика Скрябина, д. 8, корп. 3",Рязанский Проспект
Апартаменты LuxKV - Кутузовский 24,8.5/10,13 125,"Москва, пр-т Кутузовский, д. 24",Выставочная
Хостел Три Вокзала,7.6/10,700,"Москва, ул. Новая Басманная, д. 10, стр. 1",Красные Ворота
Апарт-отель Knokey Павелецкая,8.7/10,6 350,"Москва, пер. Стремянный, д. 2",Павелецкая
Гостиница Cosmos Moscow Paveletskaya,9.6/10,5 900,"Москва, ул. Кожевническая, д. 8с3",Павелецкая
Гостиница Силуэт,9.3/10,4 800,"Москва, 1-й Колобовский пер., д. 11",Трубная
Отель Travelroom,8.3/10,1 590,"Москва, ул. 3-я Ямского Поля, д. 30",Белорусская
Отель Trips,8.9/10,3 000,"Москва, Грохольский пер., д. 32, стр. 2",Площадь трёх вокзалов МЦД-4
Гостиница на Смирновской 25,9.1/10,3 900,"Москва, ул. Смирновская, д. 25, стр. 4",Калитники МЦД-2
Aparthotel,8.7/10,2 760,"Москва, ул. Первомайская, д. 117",Первомайская
Гостиница Измайлово Брентон Клуб Гамма,9.1/10,3 610,"Москва, Измайловское ш., д. 71к4ГД",Партизанская
Отель Norke КАЗАНСКИЙ,9.1/10,4 370,"Москва, ул. Новорязанская, д. 16, корп. 1",Комсомольская
Мини-отель Ладомир на Садовом,8.1/10,3 078,"Москва, пер. Большой Козловский, д. 12",Красные Ворота
Ester House,9.6/10,1 300,"Москва, Ботанический пер., д. 16",Проспект Мира
Отель Апельсин Чистые пруды,9.6/10,"3 384,74","Москва, б-р Чистопрудный, д. 11, стр. 1",Чистые Пруды
Отель Seven Hills,8.7/10,3 200,"Москва, Пестовский пер., д. 3с1",Марксистская
Арт Отель & Хостел Каретный ряд,8.7/10,1 150,"Москва, Большой Каретный пер., д. 22, стр.4",Цветной бульвар
Отель Максима Заря,9.1/10,3 040,"Москва, ул. Гостиничная, д. 4к9",Окружная МЦД-1
Отель Софи,8.7/10,4 085,"Москва, ул. Рождественка, д. 5/7, стр. 2",Кузнецкий Мост
